student_id,course_id
1,21
1,9
1,10
1,11
1,14
2,21
3,8
3,14
3,21
4,9
5,21
5,10
5,11
5,8
5,14
6,8
6,9
6,21
7,14
7,21
7,8
8,10
8,11
8,14
8,9
9,10
10,12
10,10
10,9
10,14
11,21
11,12
11,10
11,8
11,14
12,21
13,14
14,12
15,14
15,21
15,8
15,11
15,10
16,10
16,11
17,8
17,14
18,12
18,9
18,8
18,21
19,21
19,11
19,10
19,8
19,14
20,9
20,8
20,14
21,10
22,8
22,14
22,10
23,11
23,9
23,21
23,12
24,10
24,12
24,21
25,11
26,10
26,21
26,8
27,11
27,9
28,9
29,8
30,14
30,8
30,11
31,11
31,14
31,10
31,8
31,9
32,12
32,11
32,9
32,21
32,10
33,14
33,12
33,10
33,21
33,9
34,9
34,14
34,12
34,10
34,21
35,10
35,14
35,9
35,11
35,8
36,12
36,9
37,12
37,14
37,8
37,11
37,10
38,10
38,8
39,14
39,11
39,9
39,12
40,11
41,8
41,14
41,12
41,11
41,9
42,10
42,21
43,14
44,14
44,8
44,21
44,12
45,12
45,14
45,21
46,9
46,14
46,10
47,10
47,9
47,12
48,8
48,9
48,21
49,9
49,21
50,9
51,10
51,12
51,8
51,14
51,11
52,11
53,11
53,21
53,9
53,8
54,12
54,8
55,11
56,10
56,21
56,9
56,8
57,8
57,10
57,11
57,12
57,14
58,14
58,11
58,12
59,9
59,21
59,12
59,14
59,10
60,21
60,11
61,12
61,11
61,10
62,11
62,8
62,9
62,14
62,10
63,14
63,9
64,14
64,10
64,12
65,9
65,11
65,10
66,10
66,8
66,11
66,14
66,9
67,11
68,14
68,8
69,8
69,12
70,9
71,11
71,14
72,14
72,11
72,10
72,9
72,12
73,11
73,9
73,10
74,9
74,12
74,10
74,11
74,14
75,8
75,10
76,14
76,12
77,11
77,14
77,8
78,12
79,9
79,14
79,10
79,21
79,8
80,9
80,8
80,12
80,14
80,11
81,10
82,8
83,12
84,10
84,8
84,14
84,9
85,10
86,11
86,8
86,9
87,12
88,21
88,8
88,10
89,12
89,10
89,11
90,12
90,8
90,10
90,11
91,9
91,10
91,11
91,14
92,12
92,10
92,21
92,9
93,12
93,10
93,21
93,14
94,10
94,12
94,11
94,9
94,14
95,12
95,10
96,14
97,9
98,14
98,12
99,12
99,14
99,9
99,10
100,21
100,10
100,12
101,9
101,12
101,21
101,11
102,11
102,8
103,10
103,11
103,14
103,8
104,21
104,9
104,14
105,10
105,21
106,10
106,21
106,11
107,14
107,8
107,9
108,9
109,10
109,8
109,21
110,10
110,12
110,9
110,14
110,11
111,12
111,21
112,21
112,11
112,9
112,8
113,9
114,14
115,9
115,8
115,11
115,12
116,21
116,12
116,10
116,14
116,8
117,21
117,10
117,14
118,11
118,14
119,21
119,12
119,11
119,9
120,21
120,12
120,8
121,11
121,21
121,14
121,8
122,8
122,10
122,11
123,8
123,14
123,21
124,11
124,12
124,21
125,11
125,8
125,10
125,14
126,21
127,14
127,9
127,12
127,21
127,10
128,14
129,21
129,12
129,14
129,10
129,11
130,8
130,10
130,12
130,9
130,14
131,10
131,12
131,8
131,14
131,11
132,21
133,8
133,11
133,12
133,10
133,21
134,12
134,9
135,14
135,21
135,10
135,12
135,9
136,21
136,14
136,9
137,8
137,14
137,11
137,21
138,21
139,10
139,11
140,14
140,9
140,12
141,11
142,9
142,14
142,11
142,8
142,21
143,8
144,14
144,12
144,10
144,9
144,21
145,11
146,10
146,21
147,10
147,12
148,12
148,10
149,12
149,8
149,14
150,14
151,10
151,9
151,12
151,11
152,21
152,11
152,12
152,14
152,10
153,21
153,12
153,8
153,10
153,14
154,8
154,10
155,10
155,14
156,21
156,12
157,21
157,9
157,11
157,8
157,12
158,11
158,9
158,10
159,10
159,8
159,21
160,9
160,14
161,14
161,11
162,21
162,11
163,11
163,12
163,21
163,8
164,12
165,8
165,21
165,12
165,10
166,10
166,12
166,14
167,14
167,9
167,12
167,11
167,10
168,12
168,10
168,8
168,11
169,8
169,12
170,21
171,10
171,12
171,11
171,8
171,14
172,9
172,10
172,21
173,11
173,8
173,9
173,10
173,12
174,21
174,12
174,10
175,10
175,12
175,11
175,14
175,9
176,11
176,9
176,12
176,14
177,10
177,21
177,14
178,14
178,12
178,11
179,11
180,9
180,14
180,10
180,12
180,21
181,12
181,9
181,11
181,14
182,8
183,11
183,9
183,21
183,12
183,14
184,11
184,8
184,9
184,21
184,10
185,10
185,9
186,8
186,21
186,14
186,10
186,9
187,11
188,8
188,9
188,10
189,11
189,8
190,8
190,12
190,21
190,9
191,8
191,11
191,21
191,9
192,21
192,9
192,8
193,12
194,9
194,11
194,12
195,14
195,10
196,14
197,10
197,8
198,14
198,10
198,8
198,21
198,9
199,10
199,12
199,8
199,21
200,8
200,14
201,9
202,21
202,9
203,21
203,14
204,8
204,14
205,9
206,11
206,21
206,10
207,10
207,11
207,12
207,14
207,9
208,11
209,12
210,12
210,11
210,8
211,21
211,12
211,11
212,21
213,11
214,11
214,21
214,14
214,12
214,10
215,9
216,14
216,9
216,8
216,12
217,12
217,8
217,11
217,21
218,8
218,10
218,12
218,14
218,11
219,10
219,12
219,14
219,9
219,11
220,8
220,10
220,11
220,9
220,12
221,8
221,12
221,9
222,21
222,12
223,11
223,12
224,12
224,14
224,9
224,11
224,8
225,8
225,11
225,21
225,14
226,8
226,21
227,8
227,10
228,12
229,12
229,11
230,21
231,11
232,10
232,12
232,11
232,8
233,11
233,12
233,9
234,9
234,21
234,10
234,8
235,10
235,9
235,14
236,11
236,8
236,9
236,14
236,10
237,8
237,9
238,9
238,14
238,8
239,12
239,21
239,8
239,9
240,8
241,9
241,21
242,21
243,21
244,8
244,11
244,14
245,11
245,9
245,12
246,12
247,21
248,14
248,11
249,12
249,9
249,14
249,11
249,10
250,8
250,12
250,10
251,9
251,21
251,10
251,14
251,12
252,9
252,12
252,11
253,21
254,11
255,21
255,9
256,14
256,21
256,10
256,12
257,21
257,8
257,14
257,11
257,12
258,14
259,21
259,8
259,9
260,12
260,10
260,21
260,11
261,14
261,11
261,21
261,9
262,9
262,11
263,11
263,14
263,9
263,10
264,8
264,21
264,10
264,9
265,21
265,14
265,10
265,11
265,9
266,9
266,8
267,8
267,12
268,9
268,8
268,14
269,10
270,12
271,11
272,8
272,10
273,14
273,10
273,12
273,9
273,21
274,14
274,21
274,12
274,8
275,10
275,21
276,9
276,8
277,21
277,14
277,12
278,11
278,14
278,9
278,12
278,21
279,12
279,21
279,8
279,14
280,9
280,21
280,10
281,8
281,10
281,14
281,9
281,21
282,9
282,14
282,12
282,11
282,21
283,12
283,8
283,14
283,11
284,12
284,21
284,10
285,21
285,9
285,11
286,9
286,10
286,8
287,10
287,9
287,12
288,12
289,14
289,10
289,8
289,12
289,11
290,10
290,14
290,21
291,21
291,10
291,8
291,11
292,9
292,8
293,9
293,10
294,9
294,10
294,12
295,11
296,12
296,14
296,21
296,9
296,8
297,21
298,10
298,11
298,8
298,9
299,10
299,21
299,9
300,14
300,9
300,11
300,8
300,12
301,8
301,10
302,9
302,21
303,21
303,11
303,10
303,8
303,9
304,21
304,14
304,11
305,11
305,14
305,10
306,11
306,12
306,10
306,14
307,9
307,8
307,10
307,14
308,9
308,8
308,14
309,11
309,14
310,11
310,21
310,12
310,14
310,8
311,12
311,14
311,21
311,9
311,11
312,14
312,11
313,10
314,9
314,14
315,11
315,10
316,9
316,21
316,11
317,21
317,12
317,10
318,8
318,11
318,14
318,9
319,12
319,11
319,8
319,9
320,21
320,11
320,10
320,9
321,11
321,9
321,21
321,12
321,8
322,12
322,8
322,9
323,11
323,21
323,14
323,9
323,8
324,12
325,11
326,9
327,8
328,14
328,12
328,21
328,11
328,8
329,10
329,12
329,21
329,14
329,11
330,9
330,12
330,11
330,8
331,10
331,14
331,8
332,8
332,11
332,10
333,12
333,9
333,11
333,14
333,8
334,10
334,9
334,21
335,9
335,21
336,14
336,21
337,21
337,11
337,9
337,10
337,8
338,14
338,12
339,9
339,12
340,21
340,9
340,12
340,14
340,11
341,10
341,14
342,8
342,11
342,10
342,9
343,12
343,21
344,8
344,9
345,12
345,21
345,11
345,9
345,10
346,10
346,21
346,11
347,9
347,11
347,10
347,21
347,14
348,12
348,8
348,10
348,9
348,11
349,10
350,12
350,9
350,10
350,21
351,11
351,8
351,14
351,10
352,14
352,10
352,21
352,8
353,9
353,10
353,21
353,8
353,14
354,8
355,21
355,12
355,14
355,10
356,21
357,11
357,8
357,14
357,12
358,10
358,8
359,11
359,21
359,9
359,12
360,12
360,10
360,8
360,21
361,9
361,10
362,10
362,12
362,8
362,21
363,8
363,14
363,11
363,21
364,9
364,21
364,8
365,14
365,9
365,8
365,10
366,11
367,21
367,8
367,14
367,10
367,12
368,12
368,21
368,14
368,11
368,8
369,12
369,8
369,9
369,14
369,10
370,21
370,9
370,11
371,12
371,8
371,11
371,21
371,10
372,9
372,12
372,8
372,11
373,21
373,8
374,14
374,10
374,9
374,11
374,12
375,12
375,9
375,21
375,11
376,9
376,10
376,8
376,14
377,10
377,9
378,14
379,9
379,11
379,10
379,12
379,14
380,10
381,14
381,9
381,21
381,11
381,10
382,8
382,12
382,14
382,21
383,8
383,11
383,10
384,14
384,10
385,10
386,21
386,14
387,14
387,12
387,10
387,8
388,11
389,12
389,14
389,21
390,10
390,8
390,14
390,9
390,12
391,10
391,21
391,11
392,12
392,21
393,9
393,14
393,21
393,8
393,10
394,12
394,8
394,21
395,11
395,21
395,9
395,12
395,8
396,8
396,10
397,8
397,12
397,9
398,14
399,21
400,11
400,8
401,10
401,8
401,11
401,12
401,9
402,21
403,14
403,8
403,11
403,12
403,10
404,14
404,9
405,9
405,11
405,21
405,8
406,8
406,14
406,10
406,9
407,8
407,10
407,21
407,12
407,9
408,14
409,14
409,12
409,11
409,21
410,21
410,12
410,8
410,11
410,9
411,8
411,12
411,21
411,11
411,9
412,12
413,8
413,9
414,11
414,9
414,12
414,14
414,21
415,10
415,8
415,21
415,14
415,11
416,9
416,11
416,12
417,11
417,21
417,14
417,12
417,9
418,8
418,14
419,8
419,14
420,11
420,8
420,21
421,9
421,21
421,10
422,11
423,10
423,8
424,9
424,14
425,9
425,11
425,14
425,12
425,10
426,10
426,11
426,9
427,9
427,14
428,8
428,12
428,11
428,14
429,12
430,10
431,11
432,11
433,14
434,9
434,12
434,14
434,10
435,21
436,14
436,21
437,11
437,14
437,9
438,12
439,8
439,9
440,10
440,8
441,10
442,8
442,14
442,9
442,12
443,10
443,21
443,14
443,8
444,9
444,12
444,14
444,11
444,21
445,12
445,8
445,10
446,10
